<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;D;230329;0;214.86;219.53;213.6;217.99;96549640
SBER;D;230330;0;217.34;218.45;216.12;216.87;40737550
SBER;D;230331;0;217.2;217.35;211.3;216.6;88023190
SBER;D;230403;0;218.45;219.44;214.8;216.09;54788980
SBER;D;230404;0;216.2;217.29;213.8;214.83;45747250
SBER;D;230405;0;214.69;216.3;211.4;216.15;46127960
SBER;D;230406;0;216.3;217.38;214.07;214.25;38993420
SBER;D;230407;0;214.5;216.39;213.65;216.27;29157060
SBER;D;230410;0;217.1;222.26;216.61;222.21;84958930
SBER;D;230411;0;222.9;223.33;217.62;218.6;98349200
SBER;D;230412;0;218.62;219.7;216.67;219.22;44633200
SBER;D;230413;0;219.41;220.89;218;219.85;32580550
SBER;D;230414;0;219.99;222.5;218.51;221.87;43248810
SBER;D;230417;0;222.97;228.2;222.91;228.1;78562510
SBER;D;230418;0;227.89;232.76;227.05;232.66;97459980
SBER;D;230419;0;232.67;237.37;231.1;232.95;115494020
SBER;D;230420;0;233.32;236.47;229.84;236.28;85046740
SBER;D;230421;0;237.4;238.85;233.52;235.17;115606560
SBER;D;230424;0;235.09;236.4;234.1;235.1;30405040
SBER;D;230425;0;235.16;235.82;234.21;235.3;32063750
SBER;D;230426;0;235.55;235.95;234.91;235.21;24351620
SBER;D;230427;0;235.51;240.74;235.13;240.38;68224840
SBER;D;230428;0;240.86;241.58;237.66;240.38;49494960
SBER;D;230502;0;242.2;245;237.4;242.62;83246880
SBER;D;230503;0;242.85;242.99;234;235.77;76740930
SBER;D;230504;0;236.51;239.74;236.05;238.89;53006840
SBER;D;230505;0;239.19;240.66;237.3;237.7;61314710
SBER;D;230508;0;238.65;239.86;237.36;238.27;47676110
SBER;D;230510;0;216.51;227.5;215.7;227.06;154134860
SBER;D;230511;0;228.57;235.38;223.94;229.32;197037380
SBER;D;230512;0;231.05;232.47;226.15;229.29;69831820
SBER;D;230515;0;230.54;231.75;228.52;231.7;48873370
SBER;D;230516;0;232.4;232.86;229.57;230.62;36429340
SBER;D;230517;0;229.86;230.97;228.75;230.55;31635370
SBER;D;230518;0;231.72;234.49;230.72;231.7;55909060
SBER;D;230519;0;230.98;232.3;229.81;231.27;31540330
SBER;D;230522;0;232.2;232.78;230;231;26351890
SBER;D;230523;0;231.24;237.29;230.21;236.43;62996030
SBER;D;230524;0;237.49;246.13;236.26;246.06;85850770
SBER;D;230525;0;246.11;247.4;242.65;243.76;70582820
SBER;D;230526;0;243.49;249.64;242.81;248.1;69113640
SBER;D;230529;0;249.77;252.59;248.85;251.18;67591330
SBER;D;230530;0;248.84;250.85;243.8;244.65;82871290
SBER;D;230531;0;244;247.18;240.27;246.17;72797140
SBER;D;230601;0;247;247;240.57;241.66;51897410
SBER;D;230602;0;242.01;245.5;240.77;243.95;46465000
SBER;D;230605;0;243.51;244.15;235.1;237.12;78650640
SBER;D;230606;0;236;242.1;232.54;240.91;100337100
SBER;D;230607;0;241.23;244.39;238.56;241.25;63082450
SBER;D;230608;0;241.3;242.78;239.55;241.77;29851820
SBER;D;230609;0;242.79;243;240.11;240.4;27458600
SBER;D;230613;0;241.51;244.5;240.63;244.33;40478120
SBER;D;230614;0;245.7;247.68;242.8;244.6;51810860
SBER;D;230615;0;245.12;245.94;243.22;245.18;40015310
SBER;D;230616;0;245.5;245.9;243.7;243.87;23311220
SBER;D;230619;0;244.46;244.69;241.32;242.28;29777860
SBER;D;230620;0;241.95;242.22;238.82;241.74;36578050
SBER;D;230621;0;241.9;243.92;240.6;242.2;26644780
SBER;D;230622;0;242.1;242.8;240.13;240.66;23093570
SBER;D;230623;0;239.96;240.99;234.34;235.67;61661860
SBER;D;230626;0;239.6;240.5;233.4;238.4;81032100
SBER;D;230627;0;239.02;242.34;236.8;241.21;51321260
SBER;D;230628;0;241.8;241.8;238.6;239.67;28217550
SBER;D;230629;0;239.75;241.26;239.02;239.99;28077670
SBER;D;230630;0;240;240.68;238.36;239.61;24011230
SBER;D;230703;0;240;244.56;239.15;243.33;47207170
SBER;D;230704;0;243.45;243.78;240.61;240.7;41487820
SBER;D;230705;0;241.48;241.9;240.24;240.95;19841190
SBER;D;230706;0;241.45;242.47;240.71;240.96;23175870
SBER;D;230707;0;241.2;243.75;240.7;243.67;30201090
SBER;D;230710;0;244.22;249.45;244.2;249.4;64946220
SBER;D;230711;0;250.02;250.2;246.51;247.99;49073930
SBER;D;230712;0;248.39;249.2;246.1;247.52;39166310
SBER;D;230713;0;247.96;248.15;245.34;246.19;29474970
SBER;D;230714;0;246.3;247.05;244.51;246.45;25576610
SBER;D;230717;0;244.76;246.2;243.6;245.39;35730950
SBER;D;230718;0;245.6;247.5;245.26;246.77;35911790
SBER;D;230719;0;247.21;248.1;245;245.85;31394740
SBER;D;230720;0;246.25;246.25;242.15;242.7;35960520
SBER;D;230721;0;243.17;244.53;241.7;244.13;32120690
SBER;D;230724;0;243.99;245.85;243.52;244.87;19681330
SBER;D;230725;0;245.37;247.77;244.81;247.2;39683790
SBER;D;230726;0;247.22;248.33;245.9;247.05;26031980
SBER;D;230727;0;247.51;249.3;247.24;247.95;39756100
SBER;D;230728;0;247.99;249.45;246.67;249.25;35742280
SBER;D;230731;0;251.35;267.77;251.35;267.4;167081570
SBER;D;230801;0;268.98;273.35;264.1;268.5;162474350
SBER;D;230802;0;268.53;269.97;266.52;268.57;48208590
SBER;D;230803;0;269.01;271.35;266.8;269.11;75376240
SBER;D;230804;0;269.48;272.96;261.21;264.12;132164900
SBER;D;230807;0;266.5;268.09;260.5;261.92;61223950
SBER;D;230808;0;261.91;265.44;258.8;264.62;65005790
SBER;D;230809;0;265.46;265.8;263.05;263.91;34850720
SBER;D;230810;0;264.72;267.5;263.96;266.91;37190100
SBER;D;230811;0;267.2;267.4;264.8;266.23;24716230
SBER;D;230814;0;267.37;268.77;259.15;260.45;86583040
SBER;D;230815;0;259.1;264.17;256.63;260.42;58967150
SBER;D;230816;0;261.29;261.68;254.33;256.02;71737910
SBER;D;230817;0;257.19;258.8;255.5;258.5;35682720
SBER;D;230818;0;258.39;261.37;257.35;261.14;30973320
SBER;D;230821;0;262.33;263.06;259.51;261.15;35622200
SBER;D;230822;0;261.9;262.11;259.81;261.45;25893210
SBER;D;230823;0;261.55;261.83;256;256.4;53079140
SBER;D;230824;0;257.62;259.94;256.4;259.63;26823420
SBER;D;230825;0;258.8;261.6;257.61;260.5;28518670
SBER;D;230828;0;261.25;267.83;260.81;266.93;57849930
SBER;D;230829;0;266.62;267.56;265.14;265.68;35291820
SBER;D;230830;0;265.73;267.36;263.1;264.7;38578950
SBER;D;230831;0;265.05;266.25;264.3;264.85;22557030
SBER;D;230901;0;265.4;265.62;264.06;265;19248500
SBER;D;230904;0;266.5;269.11;266;267.39;47933710
SBER;D;230905;0;266.97;267.98;261.09;264.75;39642920
SBER;D;230906;0;264.33;264.68;262.31;263.5;28244090
SBER;D;230907;0;263.52;264.97;256.1;258.79;67608570
SBER;D;230908;0;258.45;259.33;253.1;255.68;49455340
SBER;D;230911;0;257;258.37;255.16;256.25;43042300
SBER;D;230912;0;257.69;262.4;257.09;262.4;45008650
SBER;D;230913;0;262.38;262.77;257.59;258.18;29971320
SBER;D;230914;0;258.85;261.38;255.02;260;46153720
SBER;D;230915;0;259.8;262.74;258.56;260.83;35455920
SBER;D;230918;0;262.06;263;258.76;259.07;28891500
SBER;D;230919;0;258.93;259.32;251.5;252.72;89480280
SBER;D;230920;0;252.81;255.47;249.82;253.77;66610520
SBER;D;230921;0;252.94;254.2;249.81;250.16;58854870
SBER;D;230922;0;249.85;253.1;248.62;251.99;40406630
SBER;D;230925;0;252.11;253.49;249.83;252.65;31834270
SBER;D;230926;0;252.2;257.17;250.9;255.87;42923170
SBER;D;230927;0;256.26;257.85;254.63;256.1;27795730
SBER;D;230928;0;256.22;258.25;255.5;257.67;26289900
SBER;D;230929;0;257.99;262.59;256.71;260.72;68503050
SBER;D;231002;0;261.38;261.92;257.03;258.98;35447350
SBER;D;231003;0;258.99;260.5;257.23;259.65;23815150
SBER;D;231004;0;259;260.39;258.24;259.53;18510890
SBER;D;231005;0;260.71;261.39;258.26;259.38;23254560
SBER;D;231006;0;259.77;263.4;257.86;262.93;31980230
SBER;D;231009;0;263.02;265.97;263;265.25;45189600
SBER;D;231010;0;264.9;265.18;257;263;33744090
SBER;D;231011;0;263.18;263.99;259.5;260.21;29440350
SBER;D;231012;0;260.03;264.5;259.66;264.5;27421510
SBER;D;231013;0;264.75;265.04;262.7;263.51;18351530
SBER;D;231016;0;263.99;269.2;263.51;268.15;53677710
SBER;D;231017;0;268.25;271.97;266.91;270;51107660
SBER;D;231018;0;270;271.19;266.11;267.9;40249640
SBER;D;231019;0;267.14;271;266.28;268.65;33466930
SBER;D;231020;0;268.5;270.3;266.5;269.8;32851790
SBER;D;231023;0;270.47;274.1;269.65;270.1;62301840
SBER;D;231024;0;270.03;272.06;268.62;271.27;27975250
SBER;D;231025;0;271.5;274.96;270.53;273.73;41764060
SBER;D;231026;0;274.1;276;269.12;269.9;59466100
SBER;D;231027;0;270;271.98;266.8;269.7;49735190
SBER;D;231030;0;269.9;271.55;268.6;269.89;33261680
SBER;D;231031;0;269.91;270.5;266.87;268.35;26117980
SBER;D;231101;0;268.29;270.3;267.6;269.68;20587810
SBER;D;231102;0;270.01;270.98;268.5;269.06;25499750
SBER;D;231103;0;269.07;269.78;267.2;268.54;20968810
SBER;D;231106;0;269;273.87;268.62;273.42;29231770
SBER;D;231107;0;273.08;274.78;272.2;273.31;32183320
SBER;D;231108;0;273.53;278.35;273.28;278.15;58000060
SBER;D;231109;0;278.6;278.85;276.02;276.65;28258660
SBER;D;231110;0;276.99;281.3;276.6;280.19;44600220
SBER;D;231113;0;280.4;284.8;280.32;283.97;45780320
SBER;D;231114;0;283.66;283.88;280.54;280.87;40350240
SBER;D;231115;0;280.87;283.93;278.51;282.89;41784490
SBER;D;231116;0;282.4;283.69;279.56;279.7;24654700
SBER;D;231117;0;279.69;282.5;278.66;281.6;31282610
SBER;D;231120;0;281.8;284.2;281.61;282.91;25219810
SBER;D;231121;0;282.29;283.82;281.66;282.79;19027720
SBER;D;231122;0;283.14;286.67;282.85;286.16;47267490
SBER;D;231123;0;286.16;287.77;285.04;286.19;27692900
SBER;D;231124;0;286.48;287.5;285.11;286.85;26019540
SBER;D;231127;0;287.41;289;278.88;282.33;79026910
SBER;D;231128;0;282.4;282.51;277.32;279.91;45475110
SBER;D;231129;0;279.48;280.56;276.2;276.8;29776060
SBER;D;231130;0;276.71;278.65;272.75;277.5;55837620
SBER;D;231201;0;277.04;277.98;273.55;273.97;31604310
SBER;D;231204;0;273.59;274.95;270.52;270.96;37456310
SBER;D;231205;0;271.97;279.65;270.54;279.62;46800410
SBER;D;231206;0;279.92;280.79;266.83;267.58;99849690
SBER;D;231207;0;267.74;270.44;263.06;265.12;63509590
SBER;D;231208;0;266.01;268.23;263.72;265.16;35322130
SBER;D;231211;0;265.17;266.47;254.81;256.89;77590450
SBER;D;231212;0;256.79;262.88;255.05;257.6;63807080
SBER;D;231213;0;257.58;261.39;256.5;260.45;29760860
SBER;D;231214;0;261.4;262.75;255.58;256.64;40477500
SBER;D;231215;0;256.61;268.91;256.61;268.21;84643800
