<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;D;231218;0;268.9;270.44;266.54;268.4;51515190
SBER;D;231219;0;268.35;269.71;265;267.35;38229660
SBER;D;231220;0;267.52;269.1;266.2;266.61;30929220
SBER;D;231221;0;266.55;266.87;263.5;265.19;33214370
SBER;D;231222;0;266.07;271.9;265.37;271.3;58687300
SBER;D;231225;0;271.75;273.85;270.05;271.08;37827910
SBER;D;231226;0;271;272.89;270;271.9;22575240
SBER;D;231227;0;271.9;272.59;270.85;271.08;17191450
SBER;D;231228;0;270.99;272.48;268.52;271.74;29416450
SBER;D;231229;0;272.08;272.59;270.55;270.82;20792860
SBER;D;240103;0;271.75;274.7;271;274.56;20408560
SBER;D;240104;0;274.68;275.48;273.7;274.12;11679550
SBER;D;240105;0;274.3;274.69;272.8;273.62;9622380
SBER;D;240108;0;273.59;277;273.53;276.76;21427450
SBER;D;240109;0;276.94;278;274.71;275.28;20263120
SBER;D;240110;0;275.3;276.16;273.64;274.49;20618950
SBER;D;240111;0;274.62;275.97;274.01;275.71;19520470
SBER;D;240112;0;275.9;276.96;274.77;275.84;17608350
SBER;D;240115;0;276.3;277.73;275.21;275.96;21283290
SBER;D;240116;0;276.24;276.45;274.1;276.01;16084140
SBER;D;240117;0;276.02;279.17;275.75;278;34137100
SBER;D;240118;0;278.22;278.87;276.76;277.07;17671830
SBER;D;240119;0;277.39;277.47;273.55;274.86;28038880
SBER;D;240122;0;274.89;275.9;273.85;274.93;15050630
SBER;D;240123;0;274.69;277.26;274.31;275.9;20017040
SBER;D;240124;0;275.94;276.44;273.7;273.77;20187430
SBER;D;240125;0;274.03;274.18;271.55;272.81;24422490
SBER;D;240126;0;273.1;273.72;272.21;272.65;11102660
SBER;D;240129;0;273.05;274.95;272.7;274.05;17043130
SBER;D;240130;0;274.05;277.25;273.97;275.67;27222730
SBER;D;240131;0;275.8;276.45;275;276;12527800
SBER;D;240201;0;276.07;277.75;275.93;276.86;15941680
SBER;D;240202;0;277.01;277.3;276;276.74;12688460
SBER;D;240205;0;276.94;278.57;276.9;277.84;16017040
SBER;D;240206;0;278;278.99;277.3;278.67;15925370
SBER;D;240207;0;278.81;284.5;278.81;284.41;45347300
SBER;D;240208;0;284.56;286.24;281.25;282.17;44060410
SBER;D;240209;0;282.16;284;281.5;283.5;24301430
SBER;D;240212;0;283.67;287.84;283.5;287.28;33867350
SBER;D;240213;0;287.52;289;285.4;287.07;33266090
SBER;D;240214;0;287.08;290.6;286.84;289.06;35814960
SBER;D;240215;0;289.26;290.45;287.63;290.24;25888540
SBER;D;240216;0;290.47;292.3;286.25;288.33;53426930
SBER;D;240219;0;288.59;289.98;287.07;288.93;24275510
SBER;D;240220;0;289.23;289.28;283.29;283.9;44931560
SBER;D;240221;0;283.91;285.28;280.2;282;48809450
SBER;D;240222;0;282.24;285.05;282.1;284.77;25107350
SBER;D;240226;0;288.52;291.3;287;291.25;42606720
SBER;D;240227;0;291.34;293;290.55;292.52;32411030
SBER;D;240228;0;292.61;293.95;289.75;291.75;49212360
SBER;D;240229;0;292.3;293.2;291.3;292.19;22398680
SBER;D;240301;0;292.21;295.88;292.21;295.38;27050460
SBER;D;240304;0;295.8;299.5;295.8;299.17;40526260
SBER;D;240305;0;299.32;300.41;297.57;298.4;41691010
SBER;D;240306;0;298.19;299.33;296.82;297.71;17675740
SBER;D;240307;0;297.72;300.58;297.24;300.4;21933870
SBER;D;240311;0;300.99;302.95;298.5;299.79;41634000
SBER;D;240312;0;299.54;301.07;297.34;300.9;28579520
SBER;D;240313;0;301.2;301.49;298.7;298.85;23980400
SBER;D;240314;0;298.47;298.7;295.14;295.83;42076250
SBER;D;240315;0;295.75;299.44;295.29;298.3;26002750
SBER;D;240318;0;299.41;299.98;297.63;298.87;20213950
SBER;D;240319;0;298.3;299.4;294.21;295.2;59646690
SBER;D;240320;0;295.4;296.88;293.52;295.4;30646650
SBER;D;240321;0;295.95;297.3;291.8;295.62;70581560
SBER;D;240322;0;295.77;296.79;291.05;292.99;48966360
SBER;D;240325;0;294;294.93;292.13;293.9;25449910
SBER;D;240326;0;294.44;295.82;293.04;294.11;16268420
SBER;D;240327;0;294.45;295.11;293.47;295.1;14531720
SBER;D;240328;0;295.51;299.3;295.51;299;33617440
SBER;D;240329;0;299.37;299.5;298;298.72;17644190
SBER;D;240401;0;299.99;301.65;299.5;300.43;28378290
SBER;D;240402;0;300.42;300.99;298.95;300.38;19900790
